film,metacritic,metacritic_user,metacritic_norm,metacritic_user_norm,metacritic_norm_round,metacritic_user_norm_round,metacritic_user_vote_count
Paul Blart: Mall Cop 2 (2015),13,2.4,0.65,1.2,0.5,1,211
Do You Believe? (2015),22,4.7,1.1,2.35,1,2.5,31
The Loft (2015),24,2.4,1.2,1.2,1,1,80
Strange Magic (2015),25,5.3,1.25,2.65,1.5,2.5,41
Taken 3 (2015),26,4.6,1.3,2.3,1.5,2.5,240
Pixels (2015),27,5.3,1.35,2.65,1.5,2.5,246
Fantastic Four (2015),27,2.5,1.35,1.25,1.5,1.5,421
Mortdecai (2015),27,3.2,1.35,1.6,1.5,1.5,144
Hitman: Agent 47 (2015),28,3.3,1.4,1.65,1.5,1.5,67
Hot Tub Time Machine 2 (2015),29,3.4,1.45,1.7,1.5,1.5,88
The Boy Next Door (2015),30,5.5,1.5,2.75,1.5,3,75
Seventh Son (2015),30,3.9,1.5,1.95,1.5,2,126
Little Boy (2015),30,5.9,1.5,2.95,1.5,3,38
The Gallows (2015),30,7,1.5,3.5,1.5,3.5,80
Hot Pursuit (2015),31,3.7,1.55,1.85,1.5,2,78
Sinister 2 (2015),31,5,1.55,2.5,1.5,2.5,37
The Lazarus Effect (2015),31,4.9,1.55,2.45,1.5,2.5,62
Unfinished Business (2015),32,3.8,1.6,1.9,1.5,2,39
Annie (2014),33,4.8,1.65,2.4,1.5,2.5,108
The Longest Ride (2015),33,4.8,1.65,2.4,1.5,2.5,49
Vacation (2015),34,6.2,1.7,3.1,1.5,3,72
Self/less (2015),34,8.4,1.7,4.2,1.5,4,77
Get Hard (2015),34,3.8,1.7,1.9,1.5,2,145
The Wedding Ringer (2015),35,3.3,1.75,1.65,2,1.5,126
Serena (2015),36,5.3,1.8,2.65,2,2.5,19
The Vatican Tapes (2015),37,5.4,1.85,2.7,2,2.5,5
Terminator Genisys (2015),38,6.4,1.9,3.2,2,3,779
Entourage (2015),38,5.2,1.9,2.6,2,2.5,96
Dark Places (2015),39,7.9,1.95,3.95,2,4,18
The Gunman (2015),39,4.3,1.95,2.15,2,2,49
Aloha (2015),40,4,2,2,2,2,67
Jupiter Ascending (2015),40,4.5,2,2.25,2,2.5,503
Child 44 (2015),41,5.3,2.05,2.65,2,2.5,73
Chappie (2015),41,7.4,2.05,3.7,2,3.5,637
The Divergent Series: Insurgent (2015),42,5.4,2.1,2.7,2,2.5,206
The Woman In Black 2 Angel of Death (2015),42,4.4,2.1,2.2,2,2,55
San Andreas (2015),43,5.5,2.15,2.75,2,3,199
Black or White (2015),45,7.9,2.25,3.95,2.5,4,24
Fifty Shades of Grey (2015),46,3.2,2.3,1.6,2.5,1.5,778
Night at the Museum: Secret of the Tomb (2014),47,5.8,2.35,2.9,2.5,3,103
Project Almanac (2015),47,5.4,2.35,2.7,2.5,2.5,95
Poltergeist (2015),47,3.7,2.35,1.85,2.5,2,142
Max (2015),47,5.9,2.35,2.95,2.5,3,15
Ted 2 (2015),48,6.5,2.4,3.25,2.5,3.5,197
Cake (2015),49,6.4,2.45,3.2,2.5,3,44
The Water Diviner (2015),50,6.8,2.5,3.4,2.5,3.5,34
American Ultra (2015),50,6.8,2.5,3.4,2.5,3.5,42
True Story (2015),50,5.7,2.5,2.85,2.5,3,37
Spare Parts (2015),50,7.1,2.5,3.55,2.5,3.5,7
