film,rt,rt_user,rt_norm,rt_user_norm,rt_norm_round,rt_user_norm_round
Paul Blart: Mall Cop 2 (2015),5,36,0.25,1.8,0.5,2
Hitman: Agent 47 (2015),7,49,0.35,2.45,0.5,2.5
Hot Pursuit (2015),8,37,0.4,1.85,0.5,2
Taken 3 (2015),9,46,0.45,2.3,0.5,2.5
Fantastic Four (2015),9,20,0.45,1,0.5,1
The Boy Next Door (2015),10,35,0.5,1.75,0.5,2
The Loft (2015),11,40,0.55,2,0.5,2
Unfinished Business (2015),11,27,0.55,1.35,0.5,1.5
Seventh Son (2015),12,35,0.6,1.75,0.5,2
Mortdecai (2015),12,30,0.6,1.5,0.5,1.5
Sinister 2 (2015),13,34,0.65,1.7,0.5,1.5
The Vatican Tapes (2015),13,21,0.65,1.05,0.5,1
Hot Tub Time Machine 2 (2015),14,28,0.7,1.4,0.5,1.5
The Lazarus Effect (2015),14,23,0.7,1.15,0.5,1
The Gallows (2015),16,27,0.8,1.35,1,1.5
Pixels (2015),17,54,0.85,2.7,1,2.5
Strange Magic (2015),17,50,0.85,2.5,1,2.5
The Gunman (2015),17,34,0.85,1.7,1,1.5
Do You Believe? (2015),18,84,0.9,4.2,1,4
Serena (2015),18,25,0.9,1.25,1,1.5
Aloha (2015),19,31,0.95,1.55,1,1.5
Self/less (2015),20,51,1,2.55,1,2.5
Little Boy (2015),20,81,1,4.05,1,4
The Woman In Black 2 Angel of Death (2015),22,25,1.1,1.25,1,1.5
Fifty Shades of Grey (2015),25,42,1.25,2.1,1.5,2
Terminator Genisys (2015),26,60,1.3,3,1.5,3
Child 44 (2015),26,44,1.3,2.2,1.5,2
Dark Places (2015),26,33,1.3,1.65,1.5,1.5
Jupiter Ascending (2015),26,40,1.3,2,1.5,2
Annie (2014),27,61,1.35,3.05,1.5,3
Vacation (2015),27,55,1.35,2.75,1.5,3
The Wedding Ringer (2015),27,66,1.35,3.3,1.5,3.5
Get Hard (2015),29,48,1.45,2.4,1.5,2.5
The Divergent Series: Insurgent (2015),30,61,1.5,3.05,1.5,3
Chappie (2015),30,57,1.5,2.85,1.5,3
Poltergeist (2015),31,24,1.55,1.2,1.5,1
The Longest Ride (2015),31,73,1.55,3.65,1.5,3.5
Entourage (2015),32,68,1.6,3.4,1.5,3.5
Project Almanac (2015),34,46,1.7,2.3,1.5,2.5
Blackhat (2015),34,25,1.7,1.25,1.5,1.5
Max (2015),35,73,1.75,3.65,2,3.5
Black or White (2015),39,68,1.95,3.4,2,3.5
A Little Chaos (2015),40,47,2,2.35,2,2.5
Irrational Man (2015),42,53,2.1,2.65,2,2.5
True Story (2015),45,41,2.25,2.05,2.5,2
Home (2015),45,65,2.25,3.25,2.5,3.5
Ted 2 (2015),46,58,2.3,2.9,2.5,3
American Ultra (2015),46,52,2.3,2.6,2.5,2.5
Cake (2015),49,47,2.45,2.35,2.5,2.5
Night at the Museum: Secret of the Tomb (2014),50,58,2.5,2.9,2.5,3
Tomorrowland (2015),50,53,2.5,2.65,2.5,2.5
San Andreas (2015),50,58,2.5,2.9,2.5,3
Unbroken (2014),51,70,2.55,3.5,2.5,3.5
Saint Laurent (2015),51,45,2.55,2.25,2.5,2.5
5 Flights Up (2015),52,47,2.6,2.35,2.5,2.5
Escobar: Paradise Lost (2015),52,52,2.6,2.6,2.5,2.5
Woman in Gold (2015),52,81,2.6,4.05,2.5,4
Spare Parts (2015),52,83,2.6,4.15,2.5,4
The Age of Adaline (2015),54,68,2.7,3.4,2.5,3.5
Maggie (2015),54,32,2.7,1.6,2.5,1.5
Minions (2015),54,52,2.7,2.6,2.5,2.5
Paper Towns (2015),55,57,2.75,2.85,3,3
Focus (2015),57,54,2.85,2.7,3,2.5
Southpaw (2015),59,80,2.95,4,3,4
Insidious: Chapter 3 (2015),59,56,2.95,2.8,3,3
Run All Night (2015),60,59,3,2.95,3,3
Maps to the Stars (2015),60,46,3,2.3,3,2.5
Unfriended (2015),60,39,3,1.95,3,2
The Last Five Years (2015),60,60,3,3,3,3
The Hobbit: The Battle of the Five Armies (2014),61,75,3.05,3.75,3,4
The Second Best Exotic Marigold Hotel (2015),62,63,3.1,3.15,3,3
Magic Mike XXL (2015),62,64,3.1,3.2,3,3
The Water Diviner (2015),63,62,3.15,3.1,3,3
Ricki and the Flash (2015),64,53,3.2,2.65,3,2.5
Pitch Perfect 2 (2015),67,68,3.35,3.4,3.5,3.5
The 100-Year-Old Man Who Climbed Out the Window and Disappeared (2015),67,69,3.35,3.45,3.5,3.5
The Man From U.N.C.L.E. (2015),68,80,3.4,4,3.5,4
Welcome to Me (2015),71,47,3.55,2.35,3.5,2.5
The DUFF (2015),71,68,3.55,3.4,3.5,3.5
Into the Woods (2014),71,50,3.55,2.5,3.5,2.5
Jurassic World (2015),71,81,3.55,4.05,3.5,4
American Sniper (2015),72,85,3.6,4.25,3.5,4.5
